"","mmsi","name","operator","com_score_reported","compliance score (calculated speed)","total distance (km)","average speed (knots)","average speed calculated (knots)","total distance (nautcal miles)","distance (nautcal miles) over 10 knots","distance (nautcal miles) 0-10 knots","distance (nautcal miles) 10-12 knots","distance (nautcal miles) 12-15 knots","distance (nautcal miles) over 15 knots","number_of_distinct_trips","gt","ship_type","ship_type_ihs","noaa compliance score (reported speed)","noaa compliance score (calculated speed)","grade","noaa_grade"
"63",338570000,"BAYPORT","Manson Construction Co",100,100,33.8402699,9.12166666666667,9.13774625,18.2722906143943,0,18.2722906143943,0,0,0,1,3541,33,"Trailing Suction Hopper Dredger",100,100,"A+","A"
"64",369970428,"SUPPLY TEN","United States Govt MSC",100,99.8293736192632,31.860255,9.696875,9.7043396875,17.203167709035,0.161998979054,17.203167709035,0,0,0,1,43758,70,"Replenishment Dry Cargo Vessel",100,99.8293736192632,"A+","A"
"65",367535950,"OCEAN GIANT","US Ocean LLC",100,100,28.5339185,5.60243902439024,5.60904219512195,15.4070890315045,0,15.4070890315045,0,0,0,1,15549,70,"General Cargo Ship",100,100,"A+","A"
"66",477315000,"OOCL SHENZHEN","MSC Mediterranean Shipping Co",100,97.6634332813568,25.7854824,5.775,5.626180625,13.9230517202568,0,13.9230517202568,0,0,0,1,89097,70,"Container Ship (Fully Cellular)",100,97.6634332813568,"A+","A"
"67",368034790,"MARIE H.","Boyer Towing Inc",100,73.2003584051384,25.7047654,8.52727272727273,8.44627015151515,13.8794680110878,0,13.8794680110878,0,0,0,1,455,32,"Tug",100,73.2003584051384,"A+","A"
"68",477148100,"NEW PRIME","Associated Maritime Co HK Ltd",100,100,24.07435081,3.95,3.72876316176471,12.9991142403152,0,12.9991142403152,0,0,0,3,159843,80,"Crude Oil Tanker",100,100,"A+","A"
"69",366245070,"LAST.STRAW","Last Straw Ltd",100,88.4765853635606,21.1034496,7.70666666666667,7.76104813333333,11.3949553356672,0,11.3949553356672,0,0,0,3,103,30,"Fishing Vessel",100,88.4765853635606,"A+","A"
"70",232007052,"CS RECORDER","Global Marine Systems Ltd",100,98.4557623959528,18.63819397,2.33882352941176,2.26883021176471,10.0638233014593,0,10.0638233014593,0,0,0,1,6292,90,"Cable Layer",100,98.4557623959528,"A+","A"
"71",636018083,"GOOD NEWS","New Shipping Ltd-LIB",100,67.0428627226119,14.626859,9.825,9.96836416666667,7.897874905063,0,7.897874905063,0,0,0,1,161135,80,"Crude Oil Tanker",100,67.0428627226119,"A+","A"
"72",205757000,"STATIA","Euronav NV",100,100,13.060307,5.48333333333333,5.59070666666667,7.052004186799,0,7.052004186799,0,0,0,1,79235,89,"Crude Oil Tanker",100,100,"A+","A"
"73",371208000,"VECCHIO BRIDGE","Ocean Network Express Pte Ltd",100,94.5826437002377,12.9761633,7.565,7.7875965,7.0065702069781,0,7.0065702069781,0,0,0,1,54519,70,"Container Ship (Fully Cellular)",100,94.5826437002377,"A+","A"
"74",353778000,"ATLANTIC ISLAND","Shikishima Kisen KK",100,100,11.391284,5.22,4.708448,6.150803534788,0,6.150803534788,0,0,0,1,34810,70,"Bulk Carrier",100,100,"A+","A"
"75",477692200,"NEW WEALTH","Associated Maritime Co HK Ltd",100,97.0401219385819,10.32143871,2.87307692307692,2.95539283730769,5.57313308153547,0,5.57313308153547,0,0,0,6,165125,80,"Crude Oil Tanker",100,97.0401219385819,"A+","A"
"76",366760650,"LEADER","Crowley Maritime Corp",100,100,9.18529637,6.13,5.99605708,4.95966507205609,0,4.95966507205609,0,0,0,3,366,52,"Tug",100,100,"A+","A"
"77",205763000,"ARAFURA","Tankers UK Agencies Ltd",100,100,8.2790175,4.7125,4.420360125,4.4703134522475,0,4.4703134522475,0,0,0,1,154163,80,"Crude Oil Tanker",100,100,"A+","A"
"78",477166700,"NOT NAMED","CMA CGM SA The French Line",100,46.6041791323133,6.43435,9.89411764705882,9.48329352941176,3.47427232295,0.752292930422,3.47427232295,0,0,0,1,112967,0,"Container Ship (Fully Cellular)",100,46.6041791323133,"A+","A"
"79",477322000,"NOT NAMED","Saga Welco AS",100,0.0986512986915196,6.41974316,2.6,8.66732466,3.46638525744412,0,3.46638525744412,0,0,0,1,29235,0,"Open Hatch Cargo Ship",100,0.0986512986915196,"A+","A"
"80",248895000,"ALYARMOUK","General National Maritime",100,100,6.247173,6.7,5.6470025,3.373204791561,0,3.373204791561,0,0,0,1,61342,80,"Crude Oil Tanker",100,100,"A+","A"
"81",367642530,"BO BRUSCO","Brusco Tug & Barge Inc",100,100,5.44307,8.85,8.70782,2.93902374799,0,2.93902374799,0,0,0,1,169,31,"Tug",100,100,"A+","A"
