"","operator","ship_type_ihs","n"
"46","Cape Tankers Inc","Crude/Oil Products Tanker",4
"47","Capital Ship Management Corp","Crude/Oil Products Tanker",2
"48","Cargill International SA","Bulk Carrier",2
"49","Carnival Cruise Line","Passenger/Cruise",5
"50","Catalina Classic Cruises Inc","Passenger Ship",1
"51","Catalina Express","Passenger Ship",5
"52","CCCC First Harbor Engineering","Hopper, Motor",1
"53","Celebrity Cruises Inc","Passenger/Cruise",2
"54","Central Mare Inc","Chemical/Products Tanker",1
"55","Century Bulk Carriers Mgmt Co","Bulk Carrier",1
"56","Champion Tankers AS","Chemical/Products Tanker",4
"57","Chandris Hellas Inc","Crude Oil Tanker",1
"58","Chembulk Ocean Transport LLC","Chemical/Products Tanker",1
"59","Chemical Clipper Transports SA","Chemical/Products Tanker",1
"60","Cheramie Marine LLC","Platform Supply Ship",3
"61","Chevron Shipping Co LLC","Crude Oil Tanker",4
"62","Chevron Shipping Co LLC","Crude/Oil Products Tanker",1
"63","Chevron Shipping Co LLC","Products Tanker",1
"64","Chevron Transport Corp Ltd","Crude Oil Tanker",2
"65","China Merchants Energy Shpg","Crude Oil Tanker",1
"66","China Navigation Co Pte Ltd","Bulk Carrier",9
"67","China Navigation Co Pte Ltd","Container Ship (Fully Cellular)",1
"68","Chinese-Polish Joint Stock","General Cargo Ship",4
"69","Chios Navigation Hellas Ltd","Bulk Carrier",1
"70","Chowgule Steamships Ltd","Bulk Carrier",3
"71","Chugoku Sougyo Co Ltd","Bulk Carrier",1
"72","Chugoku Sougyo Co Ltd","Wood Chips Carrier",2
"73","Cido Shipping HK Co Ltd","Bulk Carrier",3
"74","Ciner Ship Management","Bulk Carrier",1
"75","CIT Bank NA","Tug",1
"76","Clearlake Shipping Pte Ltd","Crude/Oil Products Tanker",1
"77","Clearlake Shipping Pte Ltd","Products Tanker",1
"78","Clipper Bulk Shipping Ltd","Bulk Carrier",1
"79","CMA CGM SA The French Line","Container Ship (Fully Cellular)",28
"80","CMB NV","Chemical/Products Tanker",1
"81","Cobelfret NV","Bulk Carrier",1
"82","COSCO Shipping Energy Trans","Crude Oil Tanker",1
"83","COSCO Shipping Lines Co Ltd","Container Ship (Fully Cellular)",35
"84","COSCO Shipping Singapore Pte","Bulk Carrier",1
"85","COSCO Shipping Specialized","Vehicles Carrier",1
"86","Costa Crociere SpA","Passenger/Cruise",1
"87","CPTA","Chemical/Products Tanker",5
"88","CPTA","Products Tanker",1
"89","Crowley Alaska Tankers LLC","Crude Oil Tanker",1
"90","Crowley Marine Services Inc","Articulated Pusher Tug",5
"91","Crowley Maritime Corp","Tug",2
"92","Crowley Petroleum Services Inc","Chemical/Products Tanker",4
"93","Crystal Cruises LLC","Passenger/Cruise",1
"94","CSAV","Vehicles Carrier",2
"95","CSL Americas","Bulk Carrier, Self-discharging",5
"96","CSL Group Inc","Bulk Carrier, Self-discharging",2
"97","Curtin Maritime Corp","Tug",6
"98","d'Amato Fratelli SpA","Bulk Carrier",1
"99","d'Amico Dry DAC","Bulk Carrier",3
"100","Daido Kaiun Co Ltd","Bulk Carrier",1
"101","Dakota Tankers Pool","Crude Oil Tanker",1
"102","Dana Wharf Sportfishing","Yacht",1
"103","Dava Pte Ltd","Bulk Carrier",1
"104","DB Marine Consulting","Yacht",1
"105","DBCN Corp","Bulk Carrier",1
"106","Delek Transport Agency Inc","Bulk Carrier",1
"107","Densay Shipping & Trading DMCC","Chemical/Products Tanker",1
"108","DHT Management AS","Crude Oil Tanker",4
"109","Diamlemos Shipping Corp","Crude/Oil Products Tanker",1
"110","Diamond Bulk Carriers Pte Ltd","Bulk Carrier",1
"111","Diamond S Management LLC","Chemical/Products Tanker",1
"112","Diamond S Management LLC","Crude Oil Tanker",1
"113","Dohle Private Clients Ltd","Yacht (Sailing)",1
"114","Doun Kisen Co Ltd","Bulk Carrier",3
"115","Dowa Line Co Ltd","General Cargo Ship",1
