mmsi,shiptype,operator,year,cooperation_score,coop_score,grade,total_distance_km_under_10,percent_under_10_knots,total_distance_km_btwn_10_12,percent_10_12_knots,total_distance_km_btwn_12_15,percent_12_15_knots,total_distance_km_over_15,percent_over_15_knots,total_distance_km,total_distance_km_weird,avg_speed_knots,max_speed_knots,min_speed_knots,max_implied_speed_knots,min_implied_speed_knots,max_final_calculated_speed_knots,min_final_calculated_speed_knots,max_final_lenient_speed_knots,min_final_lenient_speed_knots
357051000,Container Ship (Fully Cellular),MSC Mediterranean Shipping Co,2017,14.90%,14.9,F,11.2,14.90%,38.5,51.10%,19.2,25.50%,6.3,8.40%,75.3,0,10.8,12.3,10.6,24.376,0,24.376,0,12.3,0
432624000,Vehicles Carrier,NYK Line,2017,14.90%,14.9,F,26.3,14.90%,17.4,9.80%,38,21.50%,95.1,53.80%,176.8,0,13.7,19.2,5.1,81.727,0,47.688,0,19.1,0
477229100,Products Tanker,Hafnia MR Pool Management ApS,2019,14.80%,14.8,F,55.2,14.80%,227.9,61%,77.2,20.60%,0.9,0.20%,373.9,0,1.8,13,0,15.641,0,15.641,0,13,0
564260000,Bulk Carrier,China Navigation Co Pte Ltd,2019,14.80%,14.8,F,52.3,14.80%,154.7,43.90%,144.8,41.10%,0.7,0.20%,352.2,0,7.9,14.5,0,24.911,0,24.911,0,14.5,0
563758000,Container Ship (Fully Cellular),Ocean Network Express Pte Ltd,2017,14.80%,14.8,F,151,14.80%,79.9,7.80%,99.7,9.80%,690.3,67.70%,1020.1,0,15,22.3,7.6,268.693,0,59.763,0,22.229,0
477444800,Bulk Carrier,Pacific Basin Shipping HK Ltd,2019,14.80%,14.8,F,47.7,14.80%,83.8,26%,130.6,40.50%,59.2,18.40%,322.4,0,12,15.8,5.3,22.883,0,22.883,0,15.8,0
538005018,Vehicles Carrier,Hyundai Glovis Co Ltd,2018,14.80%,14.8,F,27.7,14.80%,11.3,6%,94.4,50.50%,53.6,28.60%,187.1,0,12.3,15.9,4.3,26.856,4.484,26.856,4.484,15.9,4.3
311027100,Passenger/Cruise,Seabourn Cruise Line Ltd,2017,14.80%,14.8,F,27.5,14.80%,17.3,9.30%,42.2,22.70%,98.6,53.20%,185.5,0,13.2,15.5,7.9,64.192,0,51.207,0,15.4,0
356159000,Chemical/Products Tanker,Vietnam Gas & Chemicals,2017,14.70%,14.7,F,10.8,14.70%,22.3,30.40%,24.7,33.70%,15.5,21.10%,73.3,0,12.1,12.3,11.3,56.675,0,56.675,0,12.3,0
538004968,Chemical/Products Tanker,Ardmore MR Pool LLC,2017,14.70%,14.7,F,51.5,14.70%,65.9,18.80%,120.5,34.40%,112.5,32.10%,350.2,0,13.3,13.4,11,65.042,0,48.234,0,13.4,0
259291000,Vehicles Carrier,EUKOR Car Carriers Inc,2018,14.70%,14.7,F,34.8,14.70%,31.7,13.40%,160.5,67.80%,10.2,4.30%,236.7,0,11.7,17.2,5.4,40.566,0,40.566,0,17.1,0
563881000,Chemical/Products Tanker,Hafnia Pte Ltd,2019,14.70%,14.7,F,103.6,14.70%,322.4,45.90%,269.1,38.30%,6.3,0.90%,702.5,0,6.4,13.2,0,27.916,0,27.916,0,13.121,0
636016647,Container Ship (Fully Cellular),Maersk A/S,2019,14.60%,14.6,F,415.9,14.60%,1753.2,61.70%,120.4,4.20%,551,19.40%,2842.3,0,11.2,20,0.3,72.414,0,46.041,0,19.9,0
371449000,Container Ship (Fully Cellular),Ocean Network Express Pte Ltd,2019,14.60%,14.6,F,195.9,14.60%,275.7,20.60%,331.1,24.70%,537.1,40%,1341.5,0,12.9,21.8,1.2,28.771,0,28.771,0,21.7,0
636016647,Container Ship (Fully Cellular),Maersk A/S,2017,14.60%,14.6,F,140.1,14.60%,188.3,19.60%,300.3,31.30%,332.1,34.60%,959.4,0,12.8,18.5,7.7,79.297,0,55.539,0,18.5,0
477982600,Bulk Carrier,Pacific Basin Shipping HK Ltd,2017,14.50%,14.5,F,25.1,14.50%,46.6,26.90%,51.4,29.70%,49.9,28.80%,173.1,0,12,12.6,11,76.102,0,35.464,0,12.41,0
565503000,Vehicles Carrier,NYK Line,2019,14.50%,14.5,F,119.1,14.50%,442.8,53.80%,34.4,4.20%,226.8,27.60%,822.9,0,11.4,18.3,4.9,101.14,0,22.653,0,18.3,0
370863000,Chemical/Products Tanker,Benetech Shipping SA,2019,14.50%,14.5,F,135,14.50%,542.7,58.10%,253,27.10%,1.7,0.20%,934.2,0,8,13.7,0,42.089,0,42.089,0,13.7,0
370024000,Open Hatch Cargo Ship,Inui Global Logistics Co Ltd,2018,14.40%,14.4,F,53.1,14.40%,55.6,15.10%,143.4,39%,115.9,31.50%,368.1,0,13,14.6,10.8,160.093,0,53.729,0,14.5,0
258007000,General Cargo Ship,G2 Ocean AS,2018,14.40%,14.4,F,10.6,14.40%,33.7,45.80%,16.8,22.80%,12.7,17.30%,73.6,0,12.5,12.3,11,34.189,0,34.189,0,12.2,0
